car_model,price,year_model,kms
Kia Rio 1.4 5 p,$40.000.000,2014,100.000
Kia Rio 1.4 Vibrant Mt,$63.000.000,2021,35.000
Kia Rio 1.4 4 p,$37.000.000,2013,160.000
Kia Rio 1.4 Vibrant At,$55.000.000,2018,68.000
Kia Rio 1.2 4 p,$37.000.000,2014,117.000
Kia Rio 1.4 Zenith,$76.500.000,2024,8.000
Kia Rio 1.6 5 p,$26.000.000,2012,140.000
Kia Rio 1.5 Stylus,$85.000.000,2014,373.389
Kia Rio 1.4 Vibrant Hb 5 p,$63.000.000,2020,28.000
Kia Rio Spice Hatchback ,$34.000.000,2013,162.000
Kia Rio 1.4 4 p,$40.000.000,2014,110.000
Kia Rio 1.4 Vibrant At,$67.900.000,2023,26.000
Kia Tonic VIBRANT,$62.000.000,2020,48.300
Kia Rio 1.4 Vibrant Hb 5 p,$69.900.000,2023,15.400
Kia Rio 1.4 4 p,$41.000.000,2014,90.000
Kia Rio 1.4 Vibrant Mt,$67.500.000,2023,23.500
Kia Rio 1.25 4 p,$42.000.000,2016,83.000
Kia Rio Spice  2013 Full,$39.200.000,2013,110
Kia Rio R Kia Río R ,$47.900.000,2016,79.000
Kia Rio 1.2 5 p,$41.000.000,2014,40.000
Kia Rio R Ubex Version Summa 1.3,$54.000.000,2017,42.000
Kia Rio 1.4 4 p,$48.000.000,2016,80.000
Kia Rio 1.4 5 p 109 hp,$30.500.000,2012,73.000
Kia Rio 1.25 4 p,$38.000.000,2016,75.000
Kia Rio Sedán Ub Ex,$39.000.000,2015,116.477
Kia Rio 1.4 Vibrant Hb 5 p,$55.000.000,2019,33.000
Kia Rio Spice Full,$40.000.000,2013,119.000
Kia Rio 1.4,$60.000.000,2018,87.200
Kia Rio Sedán 1250 Cc,$46.000.000,2016,91.000
